dgp_code,n_train,rho_eps,x,n_seed,core_vs_oracle_mean,core_vs_oracle_std,tabpfn_naive_vs_oracle_mean,tabpfn_naive_vs_oracle_std,independence_vs_oracle_mean,independence_vs_oracle_std,div_vs_oracle_mean,div_vs_oracle_std,tabpfn_real_vs_oracle_mean,tabpfn_real_vs_oracle_std,tabicl_vs_oracle_mean,tabicl_vs_oracle_std
DGP4_PIECEWISE,2000,0.6,1.5,10,0.06031923782755723,0.014372317328394403,0.11491849133735363,0.02879147207997944,0.20361189931005969,0.019875990329629396,0.13931380290889023,0.018653055901433544,0.07019631039828882,0.016256637016232818,0.0825297021130743,0.02132797058098671
DGP4_PIECEWISE,2000,0.6,1.75,10,0.06830641750369212,0.024792250098021985,0.13497428341949053,0.039446208605654634,0.18724837098654365,0.0063713545962716745,0.14030456764963065,0.02364881616336095,0.06624516214684156,0.028099594492234887,0.09539987684238976,0.024803098240889793
DGP4_PIECEWISE,2000,0.6,2.0,10,0.061563529999910535,0.01826453832419845,0.15427229993099642,0.020750981839058387,0.167166597577493,0.01116023162215689,0.1364227279739038,0.022887809052772906,0.05844342662783971,0.02445959789736483,0.09747751190797863,0.027749119613436457
DGP4_PIECEWISE,2000,0.6,2.25,10,0.06034148966208176,0.03539591222553874,0.16266692527589371,0.03222938114000462,0.15950531201865487,0.025474312814100116,0.13555106360131303,0.029181945350296383,0.06070087819335317,0.028824031733144843,0.11113644685508894,0.04846087559091368
DGP4_PIECEWISE,2000,0.6,2.5,10,0.06027155088967111,0.024591491152327193,0.19398259714516872,0.01631972296176892,0.14021646356903691,0.012025671126053726,0.12691653664198857,0.02056884085140875,0.05051584246347447,0.019131909844385585,0.11736197312895966,0.042909747089872746
DGP4_PIECEWISE,2000,0.6,2.75,10,0.05474310610198405,0.017968350189708746,0.21597926066954037,0.026351390564310687,0.13697220613473643,0.012368116011333932,0.11616705697825716,0.029404274937437462,0.055924995063191985,0.019328600391876914,0.13388824978930358,0.042146564029798904
DGP4_PIECEWISE,2000,0.6,3.0,10,0.07990491554691201,0.03959913043207296,0.23183562403939204,0.026098991664086447,0.1455931282118395,0.026637876241933336,0.105392727545749,0.02363562356785902,0.07650611629734698,0.03405963006858863,0.15425110818858873,0.05793774022224586
DGP5_SOFTPLUS,2000,0.6,0.0,10,0.13978611702604674,0.0551327196197185,0.48672177663160526,0.0342112464836385,0.27438598661238517,0.05626371821723448,0.1590752980615763,0.031003747717558594,0.13575561807988704,0.04510949380558498,0.2399027092843558,0.12033579117754745
DGP5_SOFTPLUS,2000,0.6,0.25,10,0.11995165003605797,0.05203672891413478,0.4965290439962434,0.035768247948348326,0.27099876402472545,0.026490722676679415,0.14595917145241516,0.037834438927838866,0.13212429188778801,0.06821010394796863,0.20958106089881454,0.08497528219433914
DGP5_SOFTPLUS,2000,0.6,0.5,10,0.11566783023922662,0.0600315172910653,0.43052630074996595,0.05098066370880503,0.29587075061626766,0.023116369522642823,0.1345508901765683,0.03705948953459829,0.12157508549106441,0.07402117329488683,0.16146653834420294,0.06341856006032179
DGP5_SOFTPLUS,2000,0.6,0.75,10,0.11360729043621487,0.039252642175989214,0.336151270828427,0.05689581049453889,0.3136127798243804,0.014735055358648901,0.14173527195790886,0.04986521845944839,0.11594742509353526,0.05535987836793471,0.14162129417152586,0.0645131420101533
